index,symbol,companyName,listedDate,floor,industryName
68,DP3,Công ty Cổ phần Dược phẩm Trung ương 3,2015-07-17,HNX,Dược phẩm
69,DPC,Công ty Cổ phần nhựa Đà Nẵng,2009-06-10,HNX,Vật liệu xây dựng
70,DS3,Công ty Cổ phần Quản lý Đường sông số 3,2017-08-21,HNX,Dịch vụ vận tải
71,DST,Công ty Cổ phần Đầu tư Sao Thăng Long,2007-10-16,HNX,Cửa hàng chuyên dụng
72,DTC,Công ty Cổ phần Viglacera Đông Triều,2021-11-16,HNX,Điện
73,DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,2017-11-16,HNX,Xây dựng công trình
74,DTK,Tổng công ty Điện lực TKV - CTCP,2020-12-25,HNX,Điện
75,DVG,CTCP TẬP ĐOÀN SƠN ĐẠI VIỆT,2021-01-14,HNX,Vật liệu xây dựng
76,DXP,Công ty Cổ phần Cảng Đoạn Xá,2009-06-08,HNX,Dịch vụ vận tải
77,DZM,Công ty Cổ phần Chế tạo máy Dzĩ An ,2009-06-11,HNX,Thiết bị điện
78,EBS,Công ty Cổ phần Sách Giáo Dục tại TP Hà Nội,2006-12-21,HNX,Cửa hàng chuyên dụng
79,ECI,Công ty Cổ phần Bản đồ và Tranh ảnh giáo dục,2009-06-16,HNX,Hoạt động xuất bản
80,EID,Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội,2009-08-11,HNX,Hoạt động xuất bản
81,EVS,Công ty Cổ phần Chứng khoán Everest,2019-06-26,HNX,Dịch vụ đầu tư
82,FID,Công ty Cổ phần đầu tư và phát triển doanh nghiệp Việt Nam ,2015-05-20,HNX,Bán lẻ dụng cụ gia đình
83,GDW,Công ty Cổ phần Cấp nước Gia Định,2018-12-18,HNX,Nước
84,GIC,Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh,2020-11-06,HNX,Dịch vụ vận tải
85,GKM,Công ty cổ phần Khang Minh Group,2017-07-17,HNX,Vật liệu xây dựng
86,GLT,Công ty Cổ phần Kỹ thuật điện toàn cầu,2009-11-26,HNX,Thiết bị điện tử
87,GMA,Công ty Cổ phần Enteco Việt Nam,2020-12-01,HNX,Vật liệu xây dựng
88,GMX,Công ty Cổ phần Gạch Ngói Gốm Xây dựng Mỹ Xuân,2011-09-15,HNX,Vật liệu xây dựng
89,HAD,Công ty Cổ phần Bia Hà Nội - Hải Dương,2009-10-27,HNX,Sản xuất bia
90,HAT,Công ty Cổ phần Thương mại Bia Hà Nội ,2010-10-29,HNX,Sản xuất bia
91,HBS,Công ty Cổ phần Chứng khoán Hòa Bình,2010-07-16,HNX,Dịch vụ đầu tư
92,HCC,Công ty Cổ phần Bê tông Hòa Cẩm - Intimex,2007-12-24,HNX,Vật liệu xây dựng
93,HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải xi măng Hải Phòng,2007-11-27,HNX,Dịch vụ vận tải
94,HDA,Công ty Cổ phần Hãng sơn Đông Á,2010-12-27,HNX,Vật liệu xây dựng
95,HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,2007-12-11,HNX,Hoạt động xuất bản
96,HGM,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang ,2009-12-21,HNX,Khai khoáng nói chung
97,HHC,Công ty Cổ phần Bánh kẹo Hải Hà,2007-11-20,HNX,Sản xuất thực phẩm
98,HHG,Công ty Cổ phần Hoàng Hà ,2010-07-28,HNX,Dịch vụ vận tải
99,HJS,Công ty Cổ phần Thủy điện Nậm Mu ,2006-12-20,HNX,Điện
100,HKT,Công ty cổ phần Đầu tư EGO Việt Nam,2017-01-12,HNX,Sản xuất thực phẩm
101,HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin,2009-03-05,HNX,Than đá
102,HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,2013-03-26,HNX,Xây dựng công trình
103,HMH,Công ty Cổ phần Hải Minh ,2010-07-28,HNX,Dịch vụ vận tải
104,HOM,Công ty Cổ phần Xi măng Vicem Hoàng Mai,2009-07-09,HNX,Vật liệu xây dựng
105,HPM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,2016-01-18,HNX,Vật liệu xây dựng
106,HTC,Công ty Cổ phần Thương mại Hóc Môn ,2010-05-07,HNX,Cửa hàng chuyên dụng
107,HTP,Công ty Cổ phần In sách Giáo Khoa Hòa Phát,2006-12-14,HNX,Hoạt động xuất bản
108,HUT,Công ty Cổ phần TASCO ,2008-04-11,HNX,Xây dựng công trình
109,HVT,Công ty Cổ phần Hóa chất Việt Trì,2009-05-08,HNX,Hóa chất đặc biệt
110,ICG,Công ty Cổ phần Xây dựng sông Hồng ,2009-04-21,HNX,Xây dựng công trình
111,IDC,Tổng Công ty IDICO - CTCP,2019-12-10,HNX,Đầu tư và phát triển bất động sản
