index,symbol,companyName,listedDate,floor,industryName
181,IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia IDI,2011-06-30,HOSE,Nông sản và thủy hải sản
182,IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,2010-04-19,HOSE,Xây dựng công trình
183,ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình,2019-05-15,HOSE,Dịch vụ bất động sản
184,IMP,Công ty Cổ phần dược phẩm Imexpharm,2006-12-04,HOSE,Dược phẩm
185,ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo ,2006-11-15,HOSE,Đầu tư và phát triển bất động sản
186,ITC,Công ty Cổ phần Đầu tư - Kinh doanh nhà,2009-10-19,HOSE,Đầu tư và phát triển bất động sản
187,ITD,Công ty Cổ phần Công nghệ Tiên Phong,2011-12-20,HOSE,Phần mềm
188,JVC,Công ty Cổ phần Thiết bị Y tế Việt Nhật,2011-06-21,HOSE,Thiết bị y tế
189,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,2009-12-18,HOSE,Đầu tư và phát triển bất động sản
190,KDC,Công ty Cổ phần tập đoàn Kido ,2005-12-12,HOSE,Sản xuất thực phẩm
191,KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,2010-02-01,HOSE,Đầu tư và phát triển bất động sản
192,KHG,Công ty Cổ phần Bất động sản Khải Hoàn Land,2021-09-06,HOSE,Dịch vụ bất động sản
193,KHP,Công ty Cổ phần Điện lực Khánh Hòa ,2006-12-27,HOSE,Điện
194,KMR,Công ty Cổ phần Mirae ,2008-06-30,HOSE,"Đồ may mặc, trang sức, phụ kiện"
195,KOS,Công ty cổ phần Kosy,2019-07-22,HOSE,Đầu tư và phát triển bất động sản
196,KPF,Công ty cổ phần Đầu tư tài chính Hoàng Minh,2016-03-02,HOSE,Vật liệu xây dựng
197,KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,2010-01-20,HOSE,Khai khoáng nói chung
198,L10,Công ty Cổ phần LILAMA 10,2007-12-25,HOSE,Xây dựng công trình
199,LAF,Công ty Cổ phần Chế biến hàng xuất khẩu Long An,2021-09-06,HOSE,Sản xuất thực phẩm
200,LBM,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Lâm Đồng,2006-12-20,HOSE,Vật liệu xây dựng
201,LCG,Công ty Cổ phần LICOGI 16,2008-11-18,HOSE,Xây dựng công trình
202,LCM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai ,2011-09-16,HOSE,Khai khoáng nói chung
203,LDG,Công ty Cổ phần Đầu tư LDG ,2015-08-12,HOSE,Đầu tư và phát triển bất động sản
204,LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,2017-06-14,HOSE,Đầu tư và phát triển bất động sản
205,LGC,Công ty Cổ phần đầu tư cầu đường CII,2006-12-27,HOSE,Xây dựng công trình
206,LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,2009-10-08,HOSE,Đầu tư và phát triển bất động sản
207,LHG,Công ty Cổ phần Long Hậu ,2010-03-23,HOSE,Đầu tư và phát triển bất động sản
208,LIX,Công ty Cổ phần Bột giặt Lix,2009-12-10,HOSE,Sản phẩm gia dụng không lâu bền
209,LM8,Công ty Cổ phần Lilama 18,2010-11-15,HOSE,Máy công nghiệp
